Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link,NAME_2
Pacific Plaza Tower BGC 3 Bedroom For Sale High Floor,"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,298,None,3,3,121.0450671,14.54758485,Pacific Plaza Towers PPT BGC ,85000000,https://www.lamudi.com.ph/pacific-plaza-tower-bgc-3-bedroom-for-sale-high-floor.html,Taguig
"Fully furnished 3 Bedroom 3BR Condo for Sale BGC, Taguig ,Grand Hyatt Residences","Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,300,None,3,2,121.050318,14.540867,Grand Hyatt Residences,137000000,https://www.lamudi.com.ph/fully-furnished-3-bedroom-3br-condo-for-sale-bgc-taguig-grand-hyatt-residences.html,Taguig
Stylish Condo Unit in Aurora Boulevard 1 bedroom for sale,"Kaunlaran, Quezon City",Condominium,"Condominium,single-bedroom",None,40,None,1,1,121.0393804,14.61413704,The Magnolia Residences,6200000,https://www.lamudi.com.ph/stylish-condo-unit-in-aurora-boulevard-1-bedroom-for-sale.html,Quezon City
"5% DP Move In ,2 Bedrooms w/ Free Parking for Sale at The Olive Place","Shaw Boulevard, Mandaluyong",Condominium,"Condominium,double-bedroom",None,69,1,2,2,121.038526,14.59383,The Olive Place,10288735,https://www.lamudi.com.ph/5-dp-move-in-2-bedrooms-w-free-parking-for-sale-at-165851474685.html,Mandaluyong
Patio Madrigal | 1-BR w/ Balcony Unit for Sale in Roxas Boulevard Pasay near MOA,"Macapagal Boulevard, Pasay",Condominium,"Condominium,single-bedroom",None,40,None,1,1,120.9882448,14.5417392,Patio Madrigal,13228000,https://www.lamudi.com.ph/patio-madrigal-1-br-w-balcony-unit-for-sale-in-rox-165881445740.html,Pasay
For Sale: Tuscany Private Estate 3-Bedroom Condo in McKinley Hill Taguig,"McKinley Hill, Taguig",Condominium,"Condominium,3-bedroom",None,131,1,3,2,121.0553,14.53712,Tuscany Private Estate,26000000,https://www.lamudi.com.ph/for-sale-tuscany-private-estate-3-bedroom-condo-in-mckinley-hill-taguig.html,Taguig
"RFO 2 Bedrooms Condo, Free Parking at The Olive Place, Mandaluyong","Shaw Boulevard, Mandaluyong",Condominium,"Condominium,double-bedroom",None,73,1,2,2,121.038526,14.59383,The Olive Place,10924215,https://www.lamudi.com.ph/rfo-2-bedrooms-condo-free-parking-at-the-olive-pla-165851442842.html,Mandaluyong
Tektite (West Tower) with 1 Parking slot - Newly Renovated!,"Ortigas Avenue, Pasig",Commercial,"Commercial,offices",0,108,None,None,None,121.081755,14.590053,None,17900000,https://www.lamudi.com.ph/tektite-west-tower-with-1-parking-slot-newly-renovated.html,Pasig
For Sale Never Been Used-Brand New W/Unobstructed View Fully Furnished,"San Antonio, Makati",Condominium,"Condominium,single-bedroom",None,26.7,None,1,1,121.0145348,14.56334598,Air Residences,6850000,https://www.lamudi.com.ph/unobstructed-view-fully-furnished-brand-new.html,Makati
House and Lot For Sale Taguig Afpovai,"Western Bicutan, Taguig",House,"House,townhouse",200,410,None,4,4,121.036376,14.517219,None,46800000,https://www.lamudi.com.ph/house-and-lot-for-sale-taguig-afpovai.html,Taguig
"Bare shell whole office space for Sale Ayala Ave.,Makati Alveo Financial Tower","Legazpi Village, Makati",Commercial,"Commercial,offices",0,1147,None,None,None,121.017742,14.554848,None,449624000,https://www.lamudi.com.ph/bare-shell-whole-office-space-for-sale-ayala-ave-makati-alveo-financial-tower.html,Makati
"Along Main Road 4-Storey Building for Sale in Rosario, Pasig City","Rosario, Pasig",Commercial,"Commercial,building",672,0,28,None,None,121.089097,14.588464,None,300000000,https://www.lamudi.com.ph/along-main-road-4-storey-building-for-sale-in-rosario-pasig-city.html,Pasig
"Unfurnished 1 Bedroom Unit for Sale in The Grove, Pasig City","Ugong, Pasig",Condominium,"Condominium,single-bedroom",None,43,1,1,1,121.072573,14.582943,The Grove,7500000,https://www.lamudi.com.ph/unfurnished-1-bedroom-unit-for-sale-in-the-grove-p-165831434381.html,Pasig
2 storey with penthouse house and lot in green wood's pasig for sale,"A. Sandoval Avenue, Pasig",House,"House,single-family-house",244,600,4,7,7,121.097561,14.55578,None,38000000,https://www.lamudi.com.ph/2-storey-with-penthouse-house-and-lot-in-green-woods-pasig-for-sale.html,Pasig
Centralis Towers | 2-BR W/ Balcony Unit for Sale near DLSU Taft Ave and MOA,"MOA, Pasay",Condominium,"Condominium,double-bedroom",None,56.6,None,2,2,120.982075,14.533709,Centralis Towers,13990000,https://www.lamudi.com.ph/centralis-towers-2-br-w-balcony-unit-for-sale-near-dlsu-taft-ave-and-moa.html,Pasay
7bedrooms Three(3) storey Single Detached house for sale in Greenwoods pasig,"A. Sandoval Avenue, Pasig",House,"House,single-family-house",269,550,4,7,7,121.097561,14.55578,None,31000000,https://www.lamudi.com.ph/7bedrooms-three-3-storey-single-detached-house-for-sale-in-greenwoods-pasig.html,Pasig
"Proscenium Residences Condo for Sale in Rockwell, Makati with High-End Furniture","Rockwell, Makati",Condominium,"Condominium,double-bedroom",None,194,2,2,3,121.036339,14.562949,Proscenium at Rockwell,85000000,https://www.lamudi.com.ph/proscenium-residences-condo-for-sale-in-rockwell-makati-with-high-end-furniture.html,Makati
"High Floor 4 Bedroom Condo Unit for Sale in The Suites, BGC, Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,4-bedroom",None,277,4,4,4,121.050318,14.540867,The Suites,175000000,https://www.lamudi.com.ph/high-floor-4-bedroom-4br-condo-unit-for-sale-in-the-suites-bgc-taguig.html,Taguig
"Corner Unit Condo for Sale BGC, Fort Bonifacio Global, Taguig City, The Suites!","Fort Bonifacio, Taguig",Condominium,"Condominium,4-bedroom",None,277,3,4,4,121.050318,14.540867,The Suites At One Bonifacio High Street,175000000,https://www.lamudi.com.ph/sky-suite-double-corner-unit-4-bedroom-condo-for-sale-bgc-taguig-the-suites.html,Taguig
"Condo for Sale BGC, Taguig City, at The Suites!","Fort Bonifacio, Taguig",Condominium,"Condominium,4-bedroom",None,277,3,4,4,121.050318,14.540867,The Suites At One Bonifacio High Street,175000000,https://www.lamudi.com.ph/double-corner-unit-4-bedroom-4br-sky-suite-condo-for-sale-bgc-taguig-the-suites.html,Taguig
Arezzo Place Pasig Tandem Units with Parking for Sale in Pasig City,"Pinagbuhatan, Pasig",Condominium,"Condominium,double-bedroom",None,65,1,2,2,121.0977,14.549724,Arezzo Place Pasig,5000000,https://www.lamudi.com.ph/arezzo-place-pasig-tandem-units-with-parking-for-sale-in-pasig-city.html,Pasig
Arcovia City 1 Bedroom 46 sqm facing Ortigas Newest Township,"Ugong, Pasig",Condominium,"Condominium,single-bedroom",None,46,None,1,1,121.072573,14.582943,Arcovia City ,23517000,https://www.lamudi.com.ph/arcovia-city-1-bedroom-46-sqm-facing-ortigas-newest-township.html,Pasig
Studio type at 18 Avenue De Triomphe 32sqm facing Ortigas skyline,"Ugong, Pasig",Condominium,"Condominium,studio",None,32,None,1,1,121.072573,14.582943,18 Avenue De Triomphe,6549340,https://www.lamudi.com.ph/studio-type-at-18-avenue-de-triomphe-32sqm-facing-ortigas-skyline.html,Pasig
"Brand New 3-Storey Modern House for Sale in Ayala Alabang Village, Muntinlupa","Ayala Alabang, Muntinlupa",House,"House,single-family-house",784,1350,8,9,None,121.022321,14.405874,None,420000000,https://www.lamudi.com.ph/brand-new-3-storey-modern-house-for-sale-in-ayala-alabang-village-muntinlupa.html,Muntinlupa
For sale Studio Condominium unit Guadualupe Rent to Own! Mandaluyong,"Buayang Bato, Mandaluyong",Condominium,"Condominium,studio",None,24.17,None,1,1,121.051068,14.569686,Axis Residences,4000000,https://www.lamudi.com.ph/studio-unit-guadualupe-rent-to-own.html,Mandaluyong
"Brand New 3BR Condo for Sale in Rockwell Center, Makati, Proscenium","Rockwell, Makati",Condominium,"Condominium,3-bedroom",None,224,None,3,3,121.036339,14.562949,Proscenium at Rockwell,73920000,https://www.lamudi.com.ph/brand-new-3br-condo-for-sale-in-rockwell-center-makati-proscenium.html,Makati
"224 sqm Bare Unit 3BR Condo for Sale in Makati, Proscenium at Rockwell","Rockwell, Makati",Condominium,"Condominium,3-bedroom",None,224,None,3,3,121.036339,14.562949,Proscenium at Rockwell,73920000,https://www.lamudi.com.ph/224-sqm-bare-unit-3br-condo-for-sale-in-makati-proscenium-at-rockwell.html,Makati
"Semi furnished 3 Bedroom 3BR Condo Unit for Sale in Makati,Proscenium Residenced","Rockwell, Makati",Condominium,"Condominium,3-bedroom",None,224,None,3,3,121.036339,14.562949,Proscenium at Rockwell,73920000,https://www.lamudi.com.ph/semi-furnished-3-bedroom-3br-condo-unit-for-sale-in-makati-proscenium-residenced.html,Makati
"Proscenium Residences 3BR Condo For Sale in Rockwell Center, Makati","Rockwell, Makati",Condominium,"Condominium,3-bedroom",None,224,None,3,3,121.036339,14.562949,Proscenium at Rockwell,73920000,https://www.lamudi.com.ph/proscenium-residences-3br-condo-for-sale-in-rockwell-center-makati.html,Makati
RENT TO OWN  5% TO MOVE IN AT EASTWOOD GLOBAL PLAZA 3BEDROOM 22N 89.50SQM,"Libis, Quezon City",Condominium,"Condominium,3-bedroom",None,89,None,3,3,121.0814606,14.60789603,Eastwood Global Plaza Luxury Residence,16647211,https://www.lamudi.com.ph/rent-to-own-5-to-move-in-at-eastwood-global-plaza-3bedroom-22n-89-50sqm.html,Quezon City
"Rent To Own in Eastwood City, Quezon City 1-Bedroom Corner Unit 50sqm For Sale","Libis, Quezon City",Condominium,"Condominium,single-bedroom",None,50,None,1,1,121.0814606,14.60789603,Eastwood Global Plaza Luxury Residence,9015072,https://www.lamudi.com.ph/rent-to-own-in-eastwood-city-quezon-city-1-bedroom-corner-unit-50sqm-for-sale.html,Quezon City
"Lot for Sale in Manila, Ideal for Commercial/Residential Use in Santa Ana,Manila","Santa Ana, Manila",Land,"Land,commercial-lot",914.7,None,None,None,None,121.0135541,14.5822048,None,118000000,https://www.lamudi.com.ph/lot-for-sale-in-manila-ideal-for-commercial-residential-use-in-santa-ana-manila.html,Manila
"Lot for Sale in Quezon City, Tivoli Royale, Clean title Nr. Commonwealth, Libis","Matandang Balara, Quezon City",Land,"Land,residential-lot",340,None,None,None,None,121.082236,14.665648,None,39100000,https://www.lamudi.com.ph/lot-for-sale-in-quezon-city-tivoli-royale-clean-title-nr-commonwealth-libis.html,Quezon City
Lot for Sale in Quezon City 2 Adjacent Vacant Lot Tivoli Royale Nr.Batasan Hills,"Matandang Balara, Quezon City",Land,"Land,residential-lot",680,None,None,None,None,121.082236,14.665648,None,78200000,https://www.lamudi.com.ph/lot-for-sale-in-quezon-city-2-adjacent-vacant-lot-tivoli-royale-nr-batasan-hills.html,Quezon City
"Brand New 3-Storey Duplex House for Sale in AFPOVAI, Fort Bonifacio, Taguig City",Taguig,House,"House,single-family-house",200,410,None,4,4,121.0632793,14.5139759,None,46800000,https://www.lamudi.com.ph/brand-new-3-storey-duplex-house-for-sale-in-afpovai-fort-bonifacio-taguig.html,Taguig
"Brand New 1-Bedroom Condominium For Sale in Greenhills, San Juan City","Greenhills, San Juan",Condominium,"Condominium,single-bedroom",None,47,1,1,1,121.0468908,14.6011932, Swire Elan Suites,6500000,https://www.lamudi.com.ph/brand-new-1-bedroom-condominium-for-sale-in-greenhills-san-juan-city.html,San Juan
"Residential Lot For Sale in Tierra Pura, Quezon City, Metro Manila","Tandang Sora, Quezon City",Land,"Land,residential-lot",499,None,None,None,None,121.042788,14.6820013,None,48000000,https://www.lamudi.com.ph/residential-lot-for-sale-in-tierra-pura-quezon-city-metro-manila.html,Quezon City
"For Sale: 2 Bedroom Unit at Regalia Tower 2, Cubao, Quezon City","Socorro, Quezon City",Condominium,"Condominium,double-bedroom",None,67,None,2,1,121.056446,14.617564,Regalia Tower 2,5800000,https://www.lamudi.com.ph/for-sale-2-bedroom-unit-at-regalia-tower-2-cubao-quezon-city.html,Quezon City
"For Sale Brand New House and Lot in Quezon City, Capitol Homes!","Matandang Balara, Quezon City",House,"House,single-family-house",663,850,5,5,5,121.082236,14.665648,None,100000000,https://www.lamudi.com.ph/for-sale-brand-new-5br-spacious-house-in-capitol-homes-quezon-city.html,Quezon City
"For Sale! Top Notch Fully Furnished Unit at Proscenium Residences, Makati","Rockwell, Makati",Condominium,"Condominium,double-bedroom",None,194,2,2,None,121.036339,14.562949,Proscenium at Rockwell,85000000,https://www.lamudi.com.ph/for-sale-top-notch-fully-furnished-unit-at-proscenium-residences-makati.html,Makati
"Big Warehouse for Sale in Muntinlupa City Along Main Road Nr.MCX, SLEX,Daanghari","Poblacion, Muntinlupa",Commercial,"Commercial,warehouse",11393,7529,None,None,None,121.0397331,14.4133968,None,460000000,https://www.lamudi.com.ph/big-warehouse-for-sale-in-muntinlupa-city-along-main-road-nr-mcx-slex-daanghari.html,Muntinlupa
Spacious Industrial Warehouse Building for Sale in Muntinlupa City Nr. Alabang,"Poblacion, Muntinlupa",Commercial,"Commercial,warehouse",11393,7529,None,None,None,121.0397331,14.4133968,None,460000000,https://www.lamudi.com.ph/spacious-industrial-warehouse-building-for-sale-in-muntinlupa-city-nr-alabang.html,Muntinlupa
"Semi furnished Warehouse Building for Sale in for Sale in Muntinlupa Nr.MCX,SLEX","Poblacion, Muntinlupa",Commercial,"Commercial,building",11393,7529,None,None,None,121.0397331,14.4133968,None,460000000,https://www.lamudi.com.ph/semi-furnished-warehouse-building-for-sale-in-for-sale-in-muntinlupa-nr-mcx-slex.html,Muntinlupa
"11,393 sqm Huge Warehouse Building for Sale in Muntinlupa Nr. MCX","Poblacion, Muntinlupa",Commercial,"Commercial,warehouse",11393,7529,None,None,None,121.029033,14.385411,None,460000000,https://www.lamudi.com.ph/11-393-sqm-huge-warehouse-building-for-sale-in-muntinlupa-nr-mcx.html,Muntinlupa
336sqm Lot For Sale in Porto Laiya Beach and Resort Laiya San Juan Batangas,"Laiya-Ibabao, San Juan",Land,"Land,beach-lot",336,None,None,None,None,121.422891,13.673186,None,5745653.76,https://www.lamudi.com.ph/336sqm-lot-for-sale-in-porto-laiya-beach-and-resort-laiya-san-juan-batangas.html,San Juan
"Fully furnished 2Bedroom 2BR Condo for Sale in Makati, Proscenium at Rockwell","Rockwell, Makati",Condominium,"Condominium,double-bedroom",None,194,None,2,3,121.036339,14.562949,Proscenium Residences,85000000,https://www.lamudi.com.ph/fully-furnished-2bedroom-2br-condo-for-sale-in-mak-165871210920.html,Makati
"Proscenium Residences 2 Bedroom Condo for Sale in Rockwell Center, Makati City","Rockwell, Makati",Condominium,"Condominium,double-bedroom",None,194,2,2,3,121.036339,14.562949,Proscenium Residences,85000000,https://www.lamudi.com.ph/proscenium-residences-2-bedroom-condo-for-sale-in-rockwell-center-makati-city-1.html,Makati
"Condo for Sale in Makati, Proscenium at Rockwell Interior Decorated 2 Bedroom","Rockwell, Makati",Condominium,"Condominium,double-bedroom",None,194,2,2,3,121.036339,14.562949,Proscenium Residences,85000000,https://www.lamudi.com.ph/condo-for-sale-in-makati-proscenium-at-rockwell-in-165871209758.html,Makati
Makati Condo for Sale in Proscenium Residences Facing Amenities 2 Bedroom 2BR,"Rockwell, Makati",Condominium,"Condominium,double-bedroom",None,194,2,2,3,121.036339,14.562949,Proscenium Residences,85000000,https://www.lamudi.com.ph/makati-condo-for-sale-in-proscenium-residences-fac-165871207582.html,Makati
Brand New Luxurious and Spacious Townhouse for sale in Mandaluyong,"Plainview, Mandaluyong",House,"House,townhouse",63,253,None,4,4,121.033201,14.576774,None,27900000,https://www.lamudi.com.ph/brand-new-luxurious-and-spacious-townhouse-for-sale-in-mandaluyong.html,Mandaluyong
Prime Commercial lot for Sale in the high traffic area of Poblacion,"Poblacion, Makati",Land,"Land,commercial-lot",116,None,None,None,None,121.032076,14.56568,None,60000000,https://www.lamudi.com.ph/prime-commercial-lot-for-sale-in-the-high-traffic-165989055518.html,Makati
"4 Bedroom High Ceiling condo for sale near ICA, Xavier and Greenhills, QC","Kaunlaran, Quezon City",Condominium,"Condominium,4-bedroom",None,362,3,4,4,121.04641,14.617893,SkyVillas at One Balete,81400000,https://www.lamudi.com.ph/4-bedroom-high-ceiling-condo-for-sale-near-ica-xavier-and-greenhills-qc.html,Quezon City
Grand Hyatt BGC Taguig 3Bedroom Cheap Rate Sale,"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,133,None,3,2,121.050318,14.540867,GRAND HYATT MANILA RESIDENCES,64000000,https://www.lamudi.com.ph/grand-hyatt-bgc-taguig-3bedroom-cheap-rate-sale.html,Taguig
"Trion Towers 2 Bedroom 2BR Condo for Sale in BGC, Taguig Nr. High Street,SM Aura","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,97,None,2,2,121.050318,14.540867,Trion Towers,20000000,https://www.lamudi.com.ph/trion-towers-2-bedroom-2br-condo-for-sale-in-bgc-taguig-nr-high-street-sm-aura.html,Taguig
"Fully furnished 2 Bedroom 2BR Condo for Sale in BGC, Taguig, Trion Towers","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,97,None,2,2,121.050318,14.540867,Trion Towers,20000000,https://www.lamudi.com.ph/fully-furnished-2-bedroom-2br-condo-for-sale-in-bgc-taguig-trion-towers.html,Taguig
"97 sqm 2 Bedroom 2BR Condo for Sale in BGC, Taguig, Trion Towers Nr. SM Aura","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,97,None,2,2,121.050318,14.540867,Trion Towers,20000000,https://www.lamudi.com.ph/97-sqm-2-bedroom-2br-condo-for-sale-in-bgc-taguig-trion-towers-nr-sm-aura.html,Taguig
"Spacious 2 Bedroom 2BR Condo for Sale BGC, Taguig, Trion Towers Nr. High Street","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,97,None,2,2,121.050318,14.540867,Trion Towers,20000000,https://www.lamudi.com.ph/spacious-2-bedroom-2br-condo-for-sale-bgc-taguig-trion-towers-nr-high-street.html,Taguig
"2 Adjacent Vacant Lot for Sale in Quezon City, Ayala Heights, Nr. Batasan Hill","Ayala Heights, Quezon City",Land,"Land,residential-lot",450,None,None,None,None,121.0867,14.66593,None,81000000,https://www.lamudi.com.ph/2-adjacent-vacant-lot-for-sale-in-quezon-city-ayala-heights-nr-batasan-hill.html,Quezon City
"450 sqm High End Residential Lot for Sale in Quezon City, Ayala Heights Nr.Libis","Matandang Balara, Quezon City",Land,"Land,residential-lot",450,None,None,None,None,121.082236,14.665648,None,81000000,https://www.lamudi.com.ph/450-sqm-high-end-residential-lot-for-sale-in-quezon-city-ayala-heights-nr-libis.html,Quezon City
"Clean title Vacant Lot for sale in Quezon City, Ayala Heights Nr. Commonwealth","Matandang Balara, Quezon City",Land,"Land,residential-lot",450,None,None,None,None,121.082236,14.665648,None,81000000,https://www.lamudi.com.ph/clean-title-vacant-lot-for-sale-in-quezon-city-ayala-heights-nr-commonwealth.html,Quezon City
"Ayala Heights Vill. Adjacent lot for Sale in Quezon City Nr.Batasan Hills,Libis","Matandang Balara, Quezon City",Land,"Land,residential-lot",450,None,None,None,None,121.082236,14.665648,None,81000000,https://www.lamudi.com.ph/ayala-heights-vill-adjacent-lot-for-sale-in-quezon-city-nr-batasan-hills-libis.html,Quezon City
511K min Discount NO SPOT DP at SMDC Fame Residences near BGC only 19K monthly,"Highway Hills, Mandaluyong",Condominium,"Condominium,single-bedroom",None,24.1,None,1,1,121.052143,14.578255,FAME RESIDENCES by SMDC ,4602600,https://www.lamudi.com.ph/511k-min-discount-no-spot-dp-at-smdc-fame-residences-near-bgc-only-19k-monthly.html,Mandaluyong
1.5M min Discount at SMDC JAZZ Residences in Makati only 5% DP to move-in 26K/mo,"Bel-Air, Makati",Condominium,"Condominium,single-bedroom",None,28.36,None,1,1,121.0218503,14.56353967,Jazz Residences,5571573,https://www.lamudi.com.ph/1-5m-min-discount-at-smdc-jazz-residences-in-makati-only-5-dp-to-move-in-26k-mo.html,Makati
1.3 Million Min. Discount at  Breeze Residences in Roxas Blvd only 5% DP move-in,"San Rafael, Pasay",Condominium,"Condominium,single-bedroom",None,26,None,1,1,120.997655,14.547105,BREEZE RESIDENCES,3971000,https://www.lamudi.com.ph/1-3-million-min-discount-at-breeze-residences-in-roxas-blvd-only-5-dp-move-in.html,Pasay
"680 sqm Vacant Lot for Sale in Tivoli Royale, Quezon City Nr. Commonwealth,Libis","Matandang Balara, Quezon City",Land,"Land,residential-lot",680,None,None,None,None,121.082236,14.665648,None,78200000,https://www.lamudi.com.ph/680-sqm-vacant-lot-for-sale-in-tivoli-royale-quezon-city-nr-commonwealth-libis.html,Quezon City
"Prime 2 Vacant Lot for Sale in Tivoli Royale Nr.Libis,Commonwealth,Batasan Hills","Matandang Balara, Quezon City",Land,"Land,residential-lot",680,None,None,None,None,121.082236,14.665648,None,78200000,https://www.lamudi.com.ph/prime-2-vacant-lot-for-sale-in-tivoli-royale-nr-libis-commonwealth-batasan-hills.html,Quezon City
"Adjacent Lot for Sale Quezon City, Tivoli Royale Nr. Batasan Hills, Commonwealth","Batasan Hills, Quezon City",Land,"Land,residential-lot",680,None,None,None,None,121.096563,14.681641,None,78200000,https://www.lamudi.com.ph/adjacent-lot-for-sale-quezon-city-tivoli-royale-nr-batasan-hills-commonwealth.html,Quezon City
"Tivoli Royale Combined Lot for Sale in Quezon City Near Commonwealth, Libis","Matandang Balara, Quezon City",Land,"Land,residential-lot",680,None,None,None,None,121.082236,14.665648,None,78200000,https://www.lamudi.com.ph/tivoli-royale-combined-lot-for-sale-in-quezon-city-near-commonwealth-libis.html,Quezon City
"Good Buy! 2 Bedroom Condo for Sale in BGC, Taguig, Arya Residences Nr. Makati","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,135,1,2,2,121.050318,14.540867,Arya Residences,40950000,https://www.lamudi.com.ph/good-buy-2-bedroom-condo-for-sale-in-bgc-taguig-arya-residences-nr-makati.html,Taguig
"Facing Amenities 2 Bedroom Condo for Sale in BGC, Taguig, Arya Residences","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,135,1,2,2,121.050318,14.540867,Arya Residences,40950000,https://www.lamudi.com.ph/facing-amenities-2-bedroom-condo-for-sale-in-bgc-taguig-arya-residences.html,Taguig
"Semi furnished 2 Bedroom Condo for Sale in BGC, Taguig, Arya Residences","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,135,1,2,2,121.050318,14.540867,Arya Residences,40950000,https://www.lamudi.com.ph/semi-furnished-2-bedroom-condo-for-sale-in-bgc-taguig-arya-residences.html,Taguig
"Arya Residences 2 Bedroom Condominium for Sale in BGC, Taguig Nr. High Street","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,135,1,2,2,121.050318,14.540867,Arya Residences,40950000,https://www.lamudi.com.ph/arya-residences-2-bedroom-condominium-for-sale-in-bgc-taguig-nr-high-street.html,Taguig
1 Bedroom condominium w/ balcony for sale  Quezon City !!,"Socorro, Quezon City",Condominium,"Condominium,single-bedroom",None,28.8,None,1,1,121.0835165,14.6961451,Vivaldi Residences,3200000,https://www.lamudi.com.ph/1-bedroom-condominium-w-balcony-for-sale-quezon-city.html,Quezon City
"Good Buy! 397 sqm 3 Units Office Space for Sale in Makati, Proscenium Rockwell","Rockwell, Makati",Commercial,"Commercial,offices",0,397,None,None,None,121.036339,14.562949,None,188575000,https://www.lamudi.com.ph/good-buy-397-sqm-3-units-office-space-for-sale-in-makati-proscenium-rockwell.html,Makati
For Sale: 2 Bedroom Unit with Parking in Garden Towers Makati,"San Lorenzo, Makati",Condominium,"Condominium,double-bedroom",None,138,1,2,None,121.019175,14.550759,Garden Towers,37000000,https://www.lamudi.com.ph/for-sale-2-bedroom-unit-with-parking-in-garden-towers-makati.html,Makati
4BR Condo Unit with Balcony for Sale at One Legacy Grandsuites in Binondo Manila,"Binondo, Manila",Condominium,"Condominium,4-bedroom",None,157.8,None,4,4,120.97752,14.604485,One Legacy Grandsuites,21700000,https://www.lamudi.com.ph/4br-condo-unit-with-balcony-for-sale-at-one-legacy-grandsuites-in-binondo-manila.html,Manila
"1 Bedroom Condo for Sale Mother Ignacia St., Diliman Quezon City","Diliman, Quezon City",Condominium,"Condominium,single-bedroom",None,40,None,1,1,121.0528,14.6462,None,3000000,https://www.lamudi.com.ph/1-bedroom-condo-for-sale-mother-ignacia-st-diliman-quezon-city.html,Quezon City
143k only to move-in. Brand New Studio near La Salle-CSB-Benilde. Rent To Own.,"Malate, Manila",Condominium,"Condominium,studio",None,20.77,None,1,1,120.991585,14.570199,3Torre Lorenzo,4742420,https://www.lamudi.com.ph/143k-only-to-move-in-brand-new-studio-near-la-sall-165933027281.html,Manila
"For Sale: 2 Bedroom unit at Fortune Hill Brgy Addition Hill, San Juan","Addition Hills, San Juan",Condominium,"Condominium,double-bedroom",None,97,None,2,2,121.0389312,14.5939458,Fortune Hill,20000000,https://www.lamudi.com.ph/for-sale-2-bedroom-unit-at-fortune-hill-brgy-addition-hill-san-juan.html,San Juan
"RFO BGC 66 sqm 2BR condo corner unit w/ parking, Madison Park West, Php 13.8Mn","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,66,1,2,2,121.050318,14.540867,Madison Park West,13800000,https://www.lamudi.com.ph/rfo-bgc-66-sqm-2br-condo-corner-unit-w-parking-madison-park-west-php-13-8mn.html,Taguig
"RFO BGC 61sqm 2BR condo corner unit w/ parking, Madison Park West, PhP 12.6Mn","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,61,1,2,2,121.050318,14.540867,Madison Park West,12600000,https://www.lamudi.com.ph/rfo-bgc-61sqm-2br-condo-corner-unit-w-parking-madison-park-west-php-12-6mn.html,Taguig
"Brand New Studio Unit Condo for Sale/ for Rent in BGC Taguig, Uptown Parksuites","Fort Bonifacio, Taguig",Condominium,"Condominium,studio",None,37,None,1,1,121.050318,14.540867,Uptown Parksuites,8399000,https://www.lamudi.com.ph/brand-new-studio-unit-condo-for-sale-for-rent-in-bgc-taguig-uptown-parksuites.html,Taguig
"1 Bedroom Condo Unit For Sale in Light Residences, Mandaluyong City","Barangka Ilaya, Mandaluyong",Condominium,"Condominium,single-bedroom",None,24.21,None,1,1,121.04641,14.571338,Light Residences,4000000,https://www.lamudi.com.ph/1-bedroom-condo-unit-for-sale-in-light-residences-mandaluyong-city-1.html,Mandaluyong
House For Sale in Ayala Alabang Village Muntinlupa City,"Ayala Alabang, Muntinlupa",House,"House,single-family-house",432,439,4,4,4,121.0223518,14.41628176,None,150000000,https://www.lamudi.com.ph/house-for-sale-in-ayala-alabang-village-muntinlupa-city-3.html,Muntinlupa
For Sale: Park Terraces 3 Bedroom Fully Furnished Penthouse in Makati,"San Lorenzo, Makati",Condominium,"Condominium,penthouse-1",None,309,None,3,3,121.019175,14.550759,Park Terraces,125000000,https://www.lamudi.com.ph/for-sale-park-terraces-3-bedroom-fully-furnished-penthouse-in-makati.html,Makati
Alabang Hills Village house & lot for sale,"Alabang, Muntinlupa",House,"House,single-family-house",700,400,None,3,4,121.037608,14.4179774,None,70000000,https://www.lamudi.com.ph/alabang-hills-village-house-lot-for-sale.html,Muntinlupa
Commercial Lot For Sale in Fairview Quezon City.  Near SM Fairview,"Fairview, Quezon City",Land,"Land,commercial-lot",549,None,None,None,None,121.06821,14.702178,None,54900000,https://www.lamudi.com.ph/commercial-lot-for-sale-in-fairview-quezon-city-near-sm-fairview.html,Quezon City
