Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link,NAME_2
"1BR Condo unit for Sale in Sonata Private Residences, Mandaluyong City","Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,single-bedroom",None,42.9,None,1,1,121.0585,14.58119,Sonata Private Residences,11176000,https://www.lamudi.com.ph/1br-condo-unit-for-sale-in-sonata-private-residences-mandaluyong-city.html,Mandaluyong
Spacious Brand New 1 BR Condo with Balcony @ Torre De Manila For Sale,"Ermita, Manila",Condominium,"Condominium,single-bedroom",None,42,None,1,1,120.9849377,14.5851163,Torre De Manila,6700000,https://www.lamudi.com.ph/spacious-brand-new-1-br-condo-with-balcony-torre-de-manila-for-sale.html,Manila
"Furnished 2 BR Unit in La Verti Residences, Pasay  For Sale","San Isidro, Pasay",Condominium,"Condominium,double-bedroom",None,55,None,2,2,120.9963809,14.5563118,La Verti Residences,6000000,https://www.lamudi.com.ph/furnished-2-br-unit-in-la-verti-residences-pasay-for-sale.html,Pasay
"140 sqm, 2 Bedroom Condo Unit For Sale in Ponte Salcedo Located at Makati City","Salcedo Village, Makati",Condominium,"Condominium,double-bedroom",None,140,1,2,2,121.0206028,14.5596699,Ponte Salcedo,15000000,https://www.lamudi.com.ph/140-sqm-2-bedroom-condo-unit-for-sale-in-ponte-salcedo-located-at-makati-city.html,Makati
"Acqua Private Residences Sub Penthouse Unit For Sale in Hulo, Mandaluyong","Hulo, Mandaluyong",Condominium,"Condominium,penthouse-1",None,54,None,1,1,121.031359,14.571604,Acqua Private Residences,8400000,https://www.lamudi.com.ph/acqua-private-residences-sub-penthouse-unit-for-sale-in-hulo-mandaluyong.html,Mandaluyong
Rush Sale! Tierra Pura Ph 6 4 Bedroom Classic Inspired House and Lot Quezon City,"Tandang Sora, Quezon City",House,"House,single-family-house",419,350,4,4,5,121.042788,14.6820013,None,47000000,https://www.lamudi.com.ph/rush-sale-tierra-pura-ph-6-4-bedroom-classic-inspired-house-and-lot-quezon-city.html,Quezon City
Compound Brand New Townhouse For Sale in Silangan Quezon City,"Silangan, Quezon City",House,"House,townhouse",25.76,114,1,3,3,121.058592,14.627095,None,8800000,https://www.lamudi.com.ph/compound-brand-new-townhouse-for-sale-in-silangan-quezon-city.html,Quezon City
"For Sale: 1 Bedroom Condominium at Antel Platinum Tower in Bel-Air, Makati","Bel-Air, Makati",Condominium,"Condominium,single-bedroom",None,40.52,1,1,1,121.026342,14.563933,Antel Platinum Tower,6700000,https://www.lamudi.com.ph/for-sale-1-bedroom-condominium-at-antel-platinum-tower-in-bel-air-makati.html,Makati
Greenwoods 3-Storey Corner Commercial/Residential Building for Sale in Pasig,"Pinagbuhatan, Pasig",Commercial,"Commercial,building",313,1040,8,None,None,121.0977,14.549724,None,80000000,https://www.lamudi.com.ph/greenwoods-3-storey-corner-commercial-residential-building-for-sale-in-pasig.html,Pasig
"2 Bedroom Loft For Sale in Legrand Tower 3 in Eastwood City, Quezon City","Eastwood City, Quezon City",Condominium,"Condominium,loft-1",None,100.5,1,2,2,121.0817875,14.60814227,Eastwood LeGrand,14000000,https://www.lamudi.com.ph/2-bedroom-loft-for-sale-in-legrand-tower-3-in-eastwood-city-quezon-city.html,Quezon City
"For Sale: Alpha Salcedo 2 Bedroom Condominium Unit in Bel-Air, Makati City","Bel-Air, Makati",Condominium,"Condominium,double-bedroom",None,132,2,2,2,121.026342,14.563933,Alpha Salcedo,13800000,https://www.lamudi.com.ph/for-sale-alpha-salcedo-2-bedroom-condominium-unit-in-bel-air-makati-city.html,Makati
Corner 1 Bedroom Unit in Pasay For Sale at La Verti Residences in Pasay City,"San Isidro, Pasay",Condominium,"Condominium,single-bedroom",None,37,None,1,1,120.9963809,14.5563118,La Verti Residences,5200000,https://www.lamudi.com.ph/corner-1-bedroom-unit-in-pasay-for-sale-at-la-verti-residences-in-pasay-city.html,Pasay
"Brand New 2 Bedroom Unit at Brio Towers For Sale in Guadalupe Nuevo, Makati","Guadalupe Viejo, Makati",Condominium,"Condominium,double-bedroom",None,57,None,2,11,121.040676,14.564421,Brio Tower,8200000,https://www.lamudi.com.ph/brand-new-2-bedroom-unit-at-brio-towers-for-sale-in-guadalupe-nuevo-makati.html,Makati
9 Story Hotel For Sale in Makati City with Income. Good For Investment,"Cembo, Makati",Commercial,"Commercial,building",418,3560,None,None,None,121.0512952,14.5631645,None,380000000,https://www.lamudi.com.ph/9-story-hotel-for-sale-in-makati-city-with-income-good-for-investment.html,Makati
For Sale Axis Residences | Ready for Occupancy (RFO) | Rent to Own I Studio Unit,"Barangka Ilaya, Mandaluyong",Condominium,"Condominium,studio",None,24.17,None,1,1,121.04641,14.571338,Axis Residences,4322499,https://www.lamudi.com.ph/for-sale-axis-residences-ready-for-occupancy-rfo-studio-mandaluyong-city.html,Mandaluyong
1 Bedroom Unit with 1 Parking Slot For Sale in The Peak Tower Makati City,"Salcedo Village, Makati",Condominium,"Condominium,single-bedroom",None,45,1,1,1,121.0197427,14.56111418,The Peak Tower,7500000,https://www.lamudi.com.ph/1-bedroom-unit-with-1-parking-slot-for-sale-in-the-peak-tower-makati-city.html,Makati
"Poblacion, Income Generating Corner House and Lot for Sale with Apartment Makati","Poblacion, Makati",Apartment,"Apartment,apartments",None,100,None,5,None,121.032076,14.56568,None,40000000,https://www.lamudi.com.ph/poblacion-income-generating-corner-house-and-lot-for-sale-with-apartment-makati.html,Makati
"For Sale: Philamlife Tower 469 sqm Office Space, Paseo de Roxas, Makati City","Paseo de Roxas, Makati",Commercial,"Commercial,serviced-office",0,469,10,None,None,121.0275016,14.5570169,None,130000000,https://www.lamudi.com.ph/for-sale-philamlife-tower-469-sqm-office-space-paseo-de-roxas-makati-city.html,Makati
